Radius (nm),Boro .125
0.0805288,0
0.102123,0
0.129509,0
0.164238,0
0.208279,0
0.264131,0
0.334961,0
0.424783,0
0.538693,0
0.683149,0
0.866341,0
1.09866,0
1.39327,0
1.76689,0
2.2407,0
2.84157,0
3.60356,0
4.56989,0
5.79535,0
7.34942,0
9.32024,0
11.8195,0
14.9891,91.1878
19.0085,8.8122
24.1058,0
30.57,0
38.7677,0
49.1636,0
62.3472,0
79.0662,0
100.269,0
127.157,0
161.255,0
204.497,0
259.334,0
328.877,0
417.069,0
528.909,0
670.741,0
850.607,0
1078.7,0
1367.97,0
1734.8,0
2200.01,0
2789.96,0
3538.11,0
4486.89,0
5690.09,0
7215.94,0
9150.96,0
11604.9,0
14716.8,0
18663.3,0
23668,0
30014.8,0
38063.6,0
48270.7,0
61214.9,0
77630.2,0
98447.5,0
