Radius (nm),Meas 1
0.0805545,0
0.102156,0
0.12955,0
0.16429,0
0.208346,0
0.264216,0
0.335068,0
0.424919,0
0.538865,0
0.683367,0
0.866618,0
1.09901,0
1.39372,0
1.76746,0
2.24142,0
2.84247,0
3.60471,0
4.57135,2.2911
5.79719,0
7.35177,0
9.32321,0
11.8233,0
14.9938,0
19.0146,0
24.1135,0
30.5798,0
38.78,0
49.1793,0
62.3671,0
79.0914,0
100.301,0
127.197,3.4882
161.306,94.2207
204.562,0
259.417,0
328.982,0
417.202,0
529.078,0
670.955,0
850.878,0
1079.05,0
1368.41,0
1735.36,0
2200.71,0
2790.85,0
3539.24,0
4488.32,0
5691.91,0
7218.24,0
9153.88,0
11608.6,0
14721.5,0
18669.2,0
23675.6,0
30024.4,0
38075.7,0
48286.1,0
61234.4,0
77655,0
98478.9,0
