Radius (nm),Tarta .125
0.0805259,0
0.10212,0
0.129504,0
0.164232,0
0.208272,0
0.264122,0
0.334949,0
0.424768,0
0.538674,0
0.683124,0
0.86631,0
1.09862,0
1.39322,0.0850529
1.76683,5.0931
2.24062,0
2.84147,0
3.60343,0
4.56972,0
5.79514,0
7.34916,0
9.3199,0
11.8191,0
14.9885,0
19.0078,0
24.105,0
30.5689,0
38.7663,0
49.1618,0
62.345,0
79.0634,0
100.265,0
127.152,0
161.249,0
204.489,0
259.325,0
328.865,49.6461
417.054,45.1758
528.891,0
670.717,0
850.577,0
1078.67,0
1367.92,0
1734.74,0
2199.93,0
2789.86,0
3537.99,0
4486.73,0
5689.89,0
7215.68,0
9150.64,0
11604.5,0
14716.3,0
18662.6,0
23667.2,0
30013.8,0
38062.2,0
48268.9,0
61212.7,0
77627.5,0
98444,0
