Radius (nm),Tartarico 0.5
0.0805558,0
0.102158,0
0.129552,0
0.164293,0
0.208349,0
0.26422,0
0.335073,0
0.424926,0
0.538874,0
0.683378,0
0.866632,0
1.09903,0
1.39374,0
1.76749,0
2.24145,0
2.84252,0
3.60477,0
4.57142,0
5.79729,0
7.35189,0
9.32336,2.9496
11.8235,6.9761
14.9941,0
19.0149,0
24.1139,0
30.5803,0
38.7807,0
49.1801,0
62.3681,0
79.0927,0
100.302,0
127.199,0
161.309,0
204.565,0
259.421,0
328.987,35.0879
417.208,43.936
529.087,11.0503
670.966,0
850.892,0
1079.07,0
1368.43,0
1735.39,0
2200.74,0
2790.89,0
3539.3,0
4488.39,0
5692,0
7218.36,0
9154.03,0
11608.8,0
14721.8,0
18669.5,0
23676,0
30024.9,0
38076.3,0
48286.9,0
61235.4,0
77656.3,0
98480.5,0
